date,region,product,customers,revenue,cost,profit,marketing_spend
2026-01-01,North,Alpha,120,18000,10000,8000,3000
2026-01-01,South,Alpha,100,15000,9000,6000,2800
2026-01-01,East,Beta,80,12000,7000,5000,2400
2026-02-01,North,Alpha,135,21000,11200,9800,3500
2026-02-01,South,Alpha,95,14000,8800,5200,2900
2026-02-01,East,Beta,92,14500,7900,6600,2600
2026-03-01,North,Alpha,148,23800,12000,11800,3900
2026-03-01,South,Alpha,99,14900,9000,5900,3000
2026-03-01,East,Beta,105,17100,8500,8600,2800
2026-04-01,North,Gamma,160,27500,14400,13100,4700
2026-04-01,South,Gamma,115,19000,10800,8200,3600
2026-04-01,East,Beta,110,18200,8900,9300,3100
2026-05-01,North,Gamma,175,30400,15100,15300,5200
2026-05-01,South,Gamma,120,20500,11400,9100,3900
2026-05-01,East,Beta,116,19000,9200,9800,3300
2026-06-01,North,Gamma,182,31500,15700,15800,5400
2026-06-01,South,Gamma,124,21400,11800,9600,4100
2026-06-01,East,Beta,121,20100,9500,10600,3500
